State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
Illinois,Schaumburg,128,35,21,0,109,43,0,17,0,8,4,25,2,0,2,1,38,1,434,14595
Michigan,Livonia,93,111,13,0,84,10,0,9,0,13,1,22,9,0,39,1,25,0,430,3351
Michigan,Farmington Hills,89,114,13,0,84,10,0,9,1,13,1,22,9,0,39,1,24,0,429,2026
Illinois,Glenview,235,0,31,0,1,3,0,2,0,12,6,35,2,0,5,3,92,1,428,8624
Massachusetts,Somerville,189,83,24,0,2,41,0,2,1,22,4,0,8,0,2,1,49,0,428,10898
Michigan,Dearborn Heights,91,110,13,0,84,10,0,9,1,13,1,22,9,0,39,1,25,0,428,1145
Florida,Delray Beach,21,1,344,0,23,4,0,2,1,3,1,0,1,0,9,8,9,0,427,4013
Maryland,Baltimore,112,31,3,0,2,8,0,31,1,64,6,43,11,0,17,9,89,0,427,830
Minnesota,St. Louis Park,122,31,9,0,90,5,0,10,4,6,10,16,4,0,42,36,39,0,424,8236
Texas,Dallas,215,38,12,0,1,2,0,42,0,4,5,1,8,0,5,1,90,0,424,5650
Minnesota,Minneapolis,122,30,9,0,90,5,0,10,4,6,10,16,4,0,42,36,39,0,423,5568
Minnesota,Bloomington,123,28,9,0,90,5,0,10,4,6,10,16,4,0,43,37,38,0,423,1221
Texas,Richardson,215,36,12,0,1,2,0,41,2,4,5,1,8,0,5,1,90,0,423,19338
California,Garden Grove,171,46,76,1,1,15,0,33,3,5,9,1,7,0,1,27,26,0,422,25208
California,Gilroy,10,11,85,0,4,3,0,19,0,2,9,192,1,0,56,27,3,0,422,26257
Colorado,Commerce City,117,26,10,0,137,2,0,21,2,10,5,1,9,0,5,45,32,0,422,2893
Massachusetts,Peabody,161,67,22,0,2,38,0,2,1,22,4,49,3,0,2,1,48,0,422,9143
Minnesota,St. Paul,122,28,9,0,90,5,0,10,4,6,10,16,4,0,43,36,39,0,422,8658
Illinois,Oak Lawn,222,39,22,0,1,3,0,2,0,12,5,29,2,0,5,2,76,1,421,11626
Minnesota,Edina,122,28,9,0,90,5,0,10,4,6,10,16,4,0,42,36,39,0,421,3781
Minnesota,Eagan,122,28,9,0,90,5,0,10,4,6,10,16,4,0,43,36,38,0,421,2947
Colorado,Denver,117,26,10,0,136,2,0,21,2,10,5,1,9,0,5,45,31,0,420,3313
Colorado,Lakewood,117,26,10,0,136,2,0,21,2,10,5,1,9,0,5,45,31,0,420,4142
California,Yorba Linda,171,39,77,1,1,19,0,32,3,4,9,1,6,0,1,27,27,0,418,81975
Massachusetts,Salem,158,66,22,0,2,38,0,2,1,22,4,49,3,0,2,1,48,0,418,10470
